,Title,Content,Excerpt,,,,,,,,course,cuisine,ingredient,,,,,,,,,wprm_course,wprm_cuisine,,,,,wprm_ingredient,,,instructions,wprm_notes,,,,,,,,,,,,,,,,,,,,,,,,,Courses,Cuisines,,Ingredients,Ingredient Units,,,,Images Filename,,,,,,,,,,,,,,,,,,,,,Slug
,Breakfast Kebab Bowl,<p>A Middle Eastern-inspired brunch bowl that combines classic kebab elements with breakfast favorites for a unique and flavorful meal. </p>,A Middle Eastern-inspired brunch bowl that combines classic kebab elements with breakfast favorites for a unique and flavorful meal. ,,,,,,,,Brunch,Middle Eastern-inspired,"2 pita breads (toasted and cut into wedges), 1 cup chicken shawarma (or falafel for vegetarian), 2 eggs (fried), 1/2 cup tabbouleh, 1/4 cup hummus, 2 tbsp tzatziki, 1/4 cup pickled turnips, 1 tbsp sumac",,,,,,,,,Brunch,Middle Eastern-inspired,,,,,"2 pita breads (toasted and cut into wedges), 1 cup chicken shawarma (or falafel for vegetarian), 2 eggs (fried), 1/2 cup tabbouleh, 1/4 cup hummus, 2 tbsp tzatziki, 1/4 cup pickled turnips, 1 tbsp sumac",,,"Arrange pita wedges around the edges of the bowls. → Place chicken shawarma (or falafel) in the center. → Top with fried eggs. → Add scoops of tabbouleh, hummus, and tzatziki. → Garnish with pickled turnips and sprinkle with sumac.","<ul>
<li>Use lamb kofta instead of chicken for a different flavor.</li>
<li>Add a drizzle of tahini sauce for extra creaminess.</li>
</ul>
",,,,,,,,,,,,,,,,,,,,,,,,,Breakfast,Mediterranean,,"chicken shawarma,eggs,hummus,pickled turnips,pita breads,sumac,tabbouleh,tzatziki","cup,tbsp",,,,Breakfast-Kebab-Bowl-2.jpg,,,,,,,,,,,,,,,,,,,,,wprm-breakfast-kebab-bowl
,Breakfast Nachos Buddha Bowl,"<p>A fun and indulgent Tex-Mex inspired brunch bowl that transforms nachos into a breakfast dish, perfect for weekend brunches or as a hangover cure. </p>","A fun and indulgent Tex-Mex inspired brunch bowl that transforms nachos into a breakfast dish, perfect for weekend brunches or as a hangover cure. ",,,,,,,,Brunch,Tex-Mex,"4 cups tortilla chips, 2 eggs (scrambled), 1/2 cup black beans, 1/4 cup shredded cheese, 1/4 cup salsa, 1/4 cup guacamole, 2 tbsp sour cream, 2 tbsp cilantro, Jalapeño slices",,,,,,,,,Brunch,Tex-Mex,,,,,"4 cups tortilla chips, 2 eggs (scrambled), 1/2 cup black beans, 1/4 cup shredded cheese, 1/4 cup salsa, 1/4 cup guacamole, 2 tbsp sour cream, 2 tbsp cilantro, Jalapeño slices",,,"Layer tortilla chips in bowls. → Top with scrambled eggs, black beans, and shredded cheese. → Add dollops of salsa, guacamole, and sour cream. → Garnish with cilantro and jalapeño slices.","<ul>
<li>Add chorizo or soyrizo for extra flavor.</li>
<li>Use Greek yogurt instead of sour cream for a healthier option.</li>
</ul>
",,,,,,,,,,,,,,,,,,,,,,,,,Breakfast,American,,"black beans,cilantro,eggs,guacamole,Jalapeño slices,salsa,shredded cheese,sour cream,tortilla chips","cup,cups,tbsp",,,,Breakfast-Nachos-Buddha-Bowl.jpg,,,,,,,,,,,,,,,,,,,,,wprm-breakfast-nachos-buddha-bowl
,Breakfast Poke Bowl,"<p>.A fusion brunch bowl inspired by Hawaiian poke, featuring smoked salmon and Asian flavors for a unique morning meal. </p>","A fusion brunch bowl inspired by Hawaiian poke, featuring smoked salmon and Asian flavors for a unique morning meal. ",,,,,,,,Brunch,Hawaiian-inspired,"1 cup sushi rice, 4 oz smoked salmon (cubed), 1/2 avocado (sliced), 1/4 cup edamame, 1/4 cup cucumber (diced), 2 soft-boiled eggs, 2 tbsp soy sauce, 1 tbsp sesame seeds",,,,,,,,,Brunch,Hawaiian-inspired,,,,,"1 cup sushi rice, 4 oz smoked salmon (cubed), 1/2 avocado (sliced), 1/4 cup edamame, 1/4 cup cucumber (diced), 2 soft-boiled eggs, 2 tbsp soy sauce, 1 tbsp sesame seeds",,,"Cook sushi rice and let cool. → Arrange rice in bowls. → Top with smoked salmon, avocado, edamame, cucumber, and soft-boiled eggs. → Drizzle with soy sauce and sprinkle sesame seeds.","<ul>
<li>Add seaweed salad for an authentic touch.</li>
<li>Use brown rice for added fiber.</li>
</ul>
",,,,,,,,,,,,,,,,,,,,,,,,,Breakfast,American,,"avocado,cucumber,edamame,sesame seeds,smoked salmon,soft-boiled eggs,soy sauce,sushi rice","cup,oz,tbsp",,,,Breakfast-Poke-Bowl-2.jpg,,,,,,,,,,,,,,,,,,,,,wprm-breakfast-poke-bowl
,Breakfast Poutine Bowl,"<p>A decadent Canadian-inspired brunch bowl featuring crispy hash browns, cheese curds, and gravy, topped with poached eggs for a comforting meal. </p>","A decadent Canadian-inspired brunch bowl featuring crispy hash browns, cheese curds, and gravy, topped with poached eggs for a comforting meal. ",,,,,,,,Brunch,Canadian-inspired,"2 cups crispy hash browns, 2 eggs (poached), 1/2 cup cheese curds, 1/4 cup bacon (cooked and crumbled), 1/2 cup breakfast gravy, 2 tbsp chives",,,,,,,,,Brunch,Canadian-inspired,,,,,"2 cups crispy hash browns, 2 eggs (poached), 1/2 cup cheese curds, 1/4 cup bacon (cooked and crumbled), 1/2 cup breakfast gravy, 2 tbsp chives",,,Layer crispy hash browns in bowls. → Top with cheese curds and crumbled bacon. → Add poached eggs. → Pour warm breakfast gravy over the top. → Garnish with chives.,"<ul>
<li>Use sweet potato hash browns for a healthier twist.</li>
<li>Add sautéed mushrooms for extra umami.</li>
</ul>
",,,,,,,,,,,,,,,,,,,,,,,,,Breakfast,Canadian,,"bacon,breakfast gravy,cheese curds,chives,crispy hash browns,eggs","cup,cups,tbsp",,,,Poutine-Bowl.jpg,,,,,,,,,,,,,,,,,,,,,wprm-breakfast-poutine-bowl
,Breakfast Quinoa Buddha Bowl,"<p>A nutritious and gluten-free brunch bowl featuring protein-rich quinoa, fresh fruits, and superfoods for a wholesome start to the day. </p>","A nutritious and gluten-free brunch bowl featuring protein-rich quinoa, fresh fruits, and superfoods for a wholesome start to the day. ",,,,,,,,Brunch,International,"1 cup cooked quinoa, 1 cup almond milk, 1 banana (sliced), 1/4 cup mixed berries, 2 tbsp almond butter, 1 tbsp honey, 1 tbsp chia seeds, 1/4 tsp cinnamon",,,,,,,,,Brunch,International,,,,,"1 cup cooked quinoa, 1 cup almond milk, 1 banana (sliced), 1/4 cup mixed berries, 2 tbsp almond butter, 1 tbsp honey, 1 tbsp chia seeds, 1/4 tsp cinnamon",,,Warm quinoa with almond milk. → Top with sliced banana and mixed berries. → Drizzle with almond butter and honey. → Sprinkle with chia seeds and cinnamon.,"<ul>
<li>Add a scoop of protein powder for extra protein.</li>
<li>Use any preferred milk or sweetener.</li>
</ul>
",,,,,,,,,,,,,,,,,,,,,,,,,Breakfast,American,,"almond butter,almond milk,banana,chia seeds,cinnamon,cooked quinoa,honey,mixed berries","cup,tbsp,tsp",,,,Quinoa-Fruit-Breakfast-Bowl-1.jpg,,,,,,,,,,,,,,,,,,,,,wprm-breakfast-quinoa-buddha-bowl
,Breakfast Ramen Bowl,<p>A comforting and unique brunch bowl that combines the beloved instant ramen with breakfast elements for a satisfying fusion meal. </p>,A comforting and unique brunch bowl that combines the beloved instant ramen with breakfast elements for a satisfying fusion meal. ,,,,,,,,Brunch,Japanese-inspired,"2 packages instant ramen, 4 cups chicken or vegetable broth, 2 eggs (soft-boiled), 1 cup spinach, 1/4 cup corn, 2 slices bacon (cooked and crumbled), 2 green onions (sliced), 1 tsp sesame oil",,,,,,,,,Brunch,Japanese-inspired,,,,,"2 packages instant ramen, 4 cups chicken or vegetable broth, 2 eggs (soft-boiled), 1 cup spinach, 1/4 cup corn, 2 slices bacon (cooked and crumbled), 2 green onions (sliced), 1 tsp sesame oil",,,"Cook ramen in broth according to package instructions. → Add spinach and corn in the last minute of cooking. → Serve in bowls topped with soft-boiled eggs, crumbled bacon, green onions, and a drizzle of sesame oil.","<ul>
<li>Add a dash of chili oil for heat.</li>
<li>Use shiitake mushrooms for extra umami flavor.</li>
</ul>
",,,,,,,,,,,,,,,,,,,,,,,,,Breakfast,Japanese,,"bacon,chicken or vegetable broth,corn,eggs,green onions,packages instant ramen,sesame oil,spinach","cup,cups,slices,tsp",,,,ramen-noodle-soup.jpg,,,,,,,,,,,,,,,,,,,,,wprm-breakfast-ramen-bowl
,Breakfast Sushi Bowl,"<p>A creative fusion brunch bowl that combines elements of sushi with breakfast favorites, offering a unique and satisfying meal experience. </p>","A creative fusion brunch bowl that combines elements of sushi with breakfast favorites, offering a unique and satisfying meal experience. ",,,,,,,,Brunch,Japanese-fusion,"2 cups sushi rice, 4 nori sheets (cut into strips), 2 eggs (thin omelette), 1 avocado (sliced), 1/4 cup cucumber (julienned), 2 tbsp smoked salmon, 2 tbsp cream cheese, 1 tbsp sesame seeds, Soy sauce for serving",,,,,,,,,Brunch,Japanese-fusion,,,,,"2 cups sushi rice, 4 nori sheets (cut into strips), 2 eggs (thin omelette), 1 avocado (sliced), 1/4 cup cucumber (julienned), 2 tbsp smoked salmon, 2 tbsp cream cheese, 1 tbsp sesame seeds, Soy sauce for serving",,,"Cook sushi rice and let cool. → Make thin omelette and slice. → Assemble bowls with rice, nori strips, omelette slices, avocado, cucumber, smoked salmon, and cream cheese. → Sprinkle with sesame seeds. → Serve with soy sauce.","<ul>
<li>Add pickled ginger and wasabi for authentic sushi flavors.</li>
<li>Use cauliflower rice for a low-carb option.</li>
</ul>
",,,,,,,,,,,,,,,,,,,,,,,,,Breakfast,Japanese,,"avocado,cream cheese,cucumber,eggs,nori sheets,sesame seeds,smoked salmon,Soy sauce for serving,sushi rice","cup,cups,tbsp",,,,Breakfast-Sushi-Bowl.jpg,,,,,,,,,,,,,,,,,,,,,wprm-breakfast-sushi-bowl
,Brunch Taco Bowl,"<p>A fun and flavorful brunch bowl that deconstructs breakfast tacos, offering a perfect balance of textures and Tex-Mex flavors. </p>","A fun and flavorful brunch bowl that deconstructs breakfast tacos, offering a perfect balance of textures and Tex-Mex flavors. ",,,,,,,,Brunch,Tex-Mex,"4 small corn tortillas (cut into wedges), 4 eggs (scrambled), 1 cup black beans, 1/2 cup salsa, 1/4 cup shredded cheese, 1 avocado (sliced), 2 tbsp cilantro, Lime wedges",,,,,,,,,Brunch,Tex-Mex,,,,,"4 small corn tortillas (cut into wedges), 4 eggs (scrambled), 1 cup black beans, 1/2 cup salsa, 1/4 cup shredded cheese, 1 avocado (sliced), 2 tbsp cilantro, Lime wedges",,,"Bake tortilla wedges until crispy. → Layer beans, scrambled eggs, salsa, and cheese in bowls. → Top with crispy tortilla chips, avocado slices, and cilantro. → Serve with lime wedges.","<ul>
<li>Add chorizo or soyrizo for extra flavor.</li>
<li>Use Greek yogurt as a healthier alternative to sour cream.</li>
</ul>
",,,,,,,,,,,,,,,,,,,,,,,,,Breakfast,Mexican,,"avocado,black beans,cilantro,eggs,Lime wedges,salsa,shredded cheese,small corn tortillas","cup,tbsp",,,,Brunch-Taco-Bowl-2.jpg,,,,,,,,,,,,,,,,,,,,,wprm-brunch-taco-bowl
,Breakfast Taco Bowl,"<p>A hearty Tex-Mex inspired brunch bowl that deconstructs breakfast tacos, offering a protein-rich and customizable meal. </p>","A hearty Tex-Mex inspired brunch bowl that deconstructs breakfast tacos, offering a protein-rich and customizable meal. ",,,,,,,,Brunch,Tex-Mex,"2 cups cooked quinoa, 1 can black beans (drained), 2 eggs (scrambled), 1/2 cup salsa, 1/4 cup shredded cheese, 1 avocado (sliced), 2 tbsp cilantro, Lime wedges",,,,,,,,,Brunch,Tex-Mex,,,,,"2 cups cooked quinoa, 1 can black beans (drained), 2 eggs (scrambled), 1/2 cup salsa, 1/4 cup shredded cheese, 1 avocado (sliced), 2 tbsp cilantro, Lime wedges",,,"Layer quinoa and black beans in bowls. → Top with scrambled eggs, salsa, and cheese. → Add avocado slices and cilantro. → Serve with lime wedges.","<ul>
<li>Add crumbled chorizo for extra flavor.</li>
<li>Use cauliflower rice instead of quinoa for a low-carb option.</li>
</ul>
",,,,,,,,,,,,,,,,,,,,,,,,,Breakfast,Mexican,,"avocado,can black beans,cilantro,cooked quinoa,eggs,Lime wedges,salsa,shredded cheese","cup,cups,tbsp",,,,Brunch-Taco-Bowl-2.jpg,,,,,,,,,,,,,,,,,,,,,wprm-breakfast-taco-bowl
,Chilaquiles Buddha Bowl,"<p>A comforting Mexican brunch bowl featuring crispy tortillas smothered in salsa, topped with eggs and fresh garnishes. </p>","A comforting Mexican brunch bowl featuring crispy tortillas smothered in salsa, topped with eggs and fresh garnishes. ",,,,,,,,Brunch,Mexican,"4 corn tortillas (cut into triangles and baked), 1 cup red salsa, 2 eggs (fried), 1/4 cup queso fresco, 1/4 cup black beans, 1/4 avocado (sliced), 2 tbsp sour cream, 2 tbsp cilantro",,,,,,,,,Brunch,Mexican,,,,,"4 corn tortillas (cut into triangles and baked), 1 cup red salsa, 2 eggs (fried), 1/4 cup queso fresco, 1/4 cup black beans, 1/4 avocado (sliced), 2 tbsp sour cream, 2 tbsp cilantro",,,"Toss baked tortilla chips with warm salsa. → Layer in bowls with black beans. → Top with fried eggs, queso fresco, avocado slices, sour cream, and cilantro.","<ul>
<li>Use green salsa for a tangy variation.</li>
<li>Add shredded chicken for extra protein.</li>
</ul>
",,,,,,,,,,,,,,,,,,,,,,,,,Breakfast,Mexican,,"avocado,black beans,cilantro,corn tortillas,eggs,queso fresco,red salsa,sour cream","cup,tbsp",,,,Chilaquiles-Buddha-bowl.jpg,,,,,,,,,,,,,,,,,,,,,wprm-chilaquiles-buddha-bowl
,Congee Breakfast Bowl,<p>A comforting Chinese-inspired brunch bowl featuring creamy rice porridge topped with savory ingredients.</p>,"""A comforting Chinese-inspired brunch bowl featuring creamy rice porridge topped with savory ingredients",,,,,,,,Brunch,Chinese-inspired,"1 cup rice, 6 cups chicken broth, 2 eggs (soft-boiled), 1/4 cup shredded chicken, 2 tbsp green onions, 1 tbsp ginger (minced), 1 tbsp soy sauce, 1 tsp sesame oil",,,,,,,,,Brunch,Chinese-inspired,,,,,"1 cup rice, 6 cups chicken broth, 2 eggs (soft-boiled), 1/4 cup shredded chicken, 2 tbsp green onions, 1 tbsp ginger (minced), 1 tbsp soy sauce, 1 tsp sesame oil",,,"Cook rice in chicken broth until it reaches a porridge-like consistency. → Stir in minced ginger. → Serve in bowls topped with soft-boiled eggs, shredded chicken, and green onions. → Drizzle with soy sauce and sesame oil.","<ul>
<li>Add century eggs for an authentic touch.</li>
<li>Use brown rice for added fiber and nutrients.</li>
</ul>
",,,,,,,,,,,,,,,,,,,,,,,,,Breakfast,Chinese,,"chicken broth,eggs,ginger,green onions,rice,sesame oil,shredded chicken,soy sauce","cup,cups,tbsp,tsp",,,,Congee-Breakfast-Bowl.jpg,,,,,,,,,,,,,,,,,,,,,wprm-congee-breakfast-bowl
